AIRCRAFT_TYPE,AIRCRAFT_DESCRIPTION,AIRCRAFT_FAMILY,ASSET_KEY,ASSET_PATH,SOURCE_PAGE,SOURCE_IMAGE_URL,ASSET_ORIGIN,STATUS
26,Gipps Aero Ga8 Airvan,Gipps Aero Ga8 Airvan,ga8,assets/aircraft/ga8.jpg,https://en.wikipedia.org/wiki/GippsAero_GA8_Airvan,,WIKIPEDIA_LEAD_IMAGE,MATCHED
33,Cessna 185A/B/C Skywagon,Cessna,cessna185,assets/aircraft/cessna185.jpg,https://en.wikipedia.org/wiki/Cessna_185_Skywagon,,WIKIPEDIA_LEAD_IMAGE,MATCHED
34,Helio H-250/295/395,Helio H-250/295/395,helio,assets/aircraft/helio.jpg,https://en.wikipedia.org/wiki/Helio_Courier,,WIKIPEDIA_LEAD_IMAGE,MATCHED
35,Cessna C206/207/209/210 Stationair,Cessna,cessna206,assets/aircraft/cessna206.jpg,https://en.wikipedia.org/wiki/Cessna_206,,WIKIPEDIA_LEAD_IMAGE,MATCHED
36,Cessna 172 Skyhawk,Cessna,cessna172,assets/aircraft/cessna172.jpg,https://en.wikipedia.org/wiki/Cessna_172,,WIKIPEDIA_LEAD_IMAGE,MATCHED
40,De Havilland DHC2 Beaver,De Havilland DHC2 Beaver,beaver,assets/aircraft/beaver.jpg,https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-2_Beaver,,WIKIPEDIA_LEAD_IMAGE,MATCHED
42,De Havilland DHC3 Otter,De Havilland DHC3 Otter,otter,assets/aircraft/otter.jpg,https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-3_Otter,,WIKIPEDIA_LEAD_IMAGE,MATCHED
79,Piper PA-32 (Cherokee 6),Piper PA-32 (Cherokee 6),cherokee6,assets/aircraft/cherokee6.jpg,https://en.wikipedia.org/wiki/Piper_PA-32_Cherokee_Six,,WIKIPEDIA_LEAD_IMAGE,MATCHED
91,Float/Amphib Turbine,Float/Amphib Turbine,seaplane,assets/aircraft/seaplane.jpg,https://en.wikipedia.org/wiki/Floatplane,,WIKIPEDIA_LEAD_IMAGE,MATCHED
125,Cessna C-402/402A/402B,Cessna,cessna402,assets/aircraft/cessna402.jpg,https://en.wikipedia.org/wiki/Cessna_402,,WIKIPEDIA_LEAD_IMAGE,MATCHED
131,Pilatus Britten-Norman BN2/A Islander,Pilatus,islander,assets/aircraft/islander.jpg,https://en.wikipedia.org/wiki/Britten-Norman_BN-2_Islander,,WIKIPEDIA_LEAD_IMAGE,MATCHED
194,Piper PA-31 (Navajo)/T-1020,Piper PA-31 (Navajo)/T-1020,navajo,assets/aircraft/navajo.jpg,https://en.wikipedia.org/wiki/Piper_PA-31_Navajo,,WIKIPEDIA_LEAD_IMAGE,MATCHED
335,Airbus Industrie A350-1000,Airbus A350,a350,assets/aircraft/a350.jpg,assets/user_aircraft_sources/A350.jpg,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
339,Airbus Industrie A330-900,Airbus A330,a330,assets/aircraft/a330.jpg,assets/user_aircraft_sources/A330.webp,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
359,Airbus Industrie A350-900,Airbus A350,a350,assets/aircraft/a350.jpg,assets/user_aircraft_sources/A350.jpg,,USER_PROVIDED_TFM_FINAL_ASSET,MATCHED
405,Beech 1900 A/B/C/D,Beechcraft,beech1900,assets/aircraft/beech1900.jpg,https://en.wikipedia.org/wiki/Beechcraft_1900,,WIKIPEDIA_LEAD_IMAGE,MATCHED
406,Beech 200 Super Kingair,Beechcraft,kingair,assets/aircraft/kingair.jpg,https://en.wikipedia.org/wiki/Beechcraft_King_Air,,WIKIPEDIA_LEAD_IMAGE,MATCHED
410,Rockwell Turbo-Commander 680-W/690,Rockwell Turbo-Commander 680-W/690,commander,assets/aircraft/commander.jpg,https://en.wikipedia.org/wiki/Aero_Commander_500_family,,WIKIPEDIA_LEAD_IMAGE,MATCHED
415,Cessna C208B/Grand Caravan,Cessna,cessna208,assets/aircraft/cessna208.jpg,https://en.wikipedia.org/wiki/Cessna_208_Caravan,,WIKIPEDIA_LEAD_IMAGE,MATCHED
416,Cessna 208 Caravan,Cessna,cessna208,assets/aircraft/cessna208.jpg,https://en.wikipedia.org/wiki/Cessna_208_Caravan,,WIKIPEDIA_LEAD_IMAGE,MATCHED
421,Cessna Skycourier 408,Cessna,skycourier,assets/aircraft/skycourier.jpg,https://en.wikipedia.org/wiki/Cessna_408_SkyCourier,,WIKIPEDIA_LEAD_IMAGE,MATCHED
432,Saab 2000,Saab 2000,saab2000,assets/aircraft/saab2000.jpg,https://en.wikipedia.org/wiki/Saab_2000,,WIKIPEDIA_LEAD_IMAGE,MATCHED
