AIRPORT_CODE,AIRPORT_NAME,CITY_NAME,COUNTRY_NAME
05A,Little Squaw Airport,"Little Squaw, AK",United States
06A,Kizhuyak Bay,"Kizhuyak, AK",United States
1AK,Mertarvik Quarry Road Landing Strip,"Mertarvik, AK",United States
1G4,Grand Canyon West,"Peach Springs, AZ",United States
2AK,Deer Park,"Deerpark, AK",United States
2WA,Tacoma Seaplane Base,"Tacoma, WA",United States
6AK,Newtok Seaplane Base,"Newtok, AK",United States
6B0,Middlebury State,"Middlebury, VT",United States
7AK,Akun Airport,"Akun, AK",United States
9NY,Sbnysh,"Shelter Island, NY",United States
A02,Deadmans Bay Airport,"Deadmans Bay, AK",United States
A03,Hallo Bay Airport,"Hallo Bay, AK",United States
A04,Red Lake Airport,"Red Lake, AK",United States
A07,Roland Norton Memorial,"Selawik, AK",United States
A17,Port Vita Airport,"Port Vita, AK",United States
A18,Kantishna Airport,"Kantishna, AK",United States
A1K,Point Thomson Airstrip,"Deadhorse1, AK",United States
A23,Bradley Lake Airport,"Bradley Lake, AK",United States
A26,Ivotuk Airstrip,"Ivotuk, AK",United States
A27,Pogo Mines Airport,"Pogo Mines, AK",United States
A28,Ayakulik River Airport,"Ayakulik River, AK",United States
A29,Kiluda Bay Airport,"Kiluda Bay, AK",United States
A2K,Bartletts Airport,"Bartletts, AK",United States
A30,Terror Lake Airport,"Terror Lake, AK",United States
A31,Selief Bay Airport,"Selief Bay, AK",United States
A35,Bullen Point AFS,"Kaktovik, AK",United States
A37,Kako Airport,"Kako, AK",United States
A38,Molly Creek Airport,"Molly Creek, AK",United States
A40,Cape Simpson Airport,"Cape Simpson, AK",United States
A43,Trident Basin Seaplane Base,"Kodiak Island, AK",United States
A4K,Dune Lake Airport,"Dune Lake, AK",United States
A50,Big Bay Airport,"Big Bay, AK",United States
A57,International Seafoods Airport,"International Seafoods, AK",United States
A63,Coal Creek,"Yukon Charley Rivvers, AK",United States
A65,Karluk Portage Airport,"Karluk Portage, AK",United States
A6K,Van Curlers Sandbar,"Fairbanks1, AK",United States
A75,Malina Bay Airport,"Malina Bay, AK",United States
A99,Eagle Creek Airport,"Eagle Creek, AK",United States
AA2,Icicle Seafoods,"Naknek-1, AK",United States
AA8,Badami,"Deadhorse, AK",United States
AAL,Aalborg Airport,"Aalborg, Denmark",Denmark
ABE,Lehigh Valley International Airport,"Allentown/Bethlehem/Easton, PA",United States
ABI,Abilene Regional Airport,"Abilene, TX",United States
ABJ,Félix-Houphouët-Boigny International Airport,"Abidjan, Cote d'Ivoire",Cote d'Ivoire
ABL,Ambler Airport,"Ambler, AK",United States
ABQ,Albuquerque International Sunport,"Albuquerque, NM",United States
ABR,Aberdeen Regional Airport,"Aberdeen, SD",United States
ABV,Nnamdi Azikiwe International Airport,"Abuja, Nigeria",Nigeria
ABY,Southwest Georgia Regional Airport,"Albany, GA",United States
ACA,General Juan N. Álvarez International Airport,"Acapulco, Mexico",Mexico
ACC,Kotoka International Airport,"Accra, Ghana",Ghana
ACK,Nantucket Memorial Airport,"Nantucket, MA",United States
ACT,Waco Regional Airport,"Waco, TX",United States
ACV,California Redwood Coast-Humboldt County Airport,"Arcata/Eureka, CA",United States
ACY,Atlantic City International Airport,"Atlantic City, NJ",United States
ADB,Adnan Menderes International Airport,"Izmir, Turkey",Turkey
ADD,Addis Ababa Bole International Airport,"Addis Ababa, Ethiopia",Ethiopia
ADK,Adak Airport,"Adak Island, AK",United States
ADL,Adelaide International Airport,"Adelaide, Australia",Australia
ADM,Ardmore Municipal Airport,"Ardmore, OK",United States
ADQ,Kodiak Airport,"Kodiak, AK",United States
ADS,Addison Airport,"Dallas, TX",United States
ADT,Ada Regional Airport,"Ada, OK",United States
ADW,Joint Base Andrews,"Camp Springs, MD",United States
ADZ,Gustavo Rojas Pinilla International Airport,"San Andres Island, Colombia",Colombia
AEP,Aeroparque Jorge Newbery,"Buenos Aires, Argentina",Argentina
AET,Allakaket Airport,"Allakaket, AK",United States
AEX,Alexandria International Airport,"Alexandria, LA",United States
AEY,Akureyri International Airport,"Akureyri, Iceland",Iceland
AFW,Perot Field/Fort Worth Alliance Airport,"Dallas/Fort Worth, TX",United States
AGC,Allegheny County Airport,"Pittsburgh, PA",United States
AGN,Angoon Seaplane Base,"Angoon, AK",United States
AGP,Málaga-Costa del Sol Airport,"Malaga, Spain",Spain
AGS,Augusta Regional At Bush Field,"Augusta, GA",United States
AGT,Guaraní International Airport,"Ciudad del Este, Paraguay",Paraguay
AGU,Aguascalientes International Airport,"Aguascalientes, Mexico",Mexico
AHN,Athens Ben Epps Airport,"Athens, GA",United States
AIA,Alliance Municipal Airport,"Alliance, NE",United States
AIN,Wainwright Airport,"Wainwright, AK",United States
AJU,Aracaju - Santa Maria Airport,"Aracaju, Brazil",Brazil
AK2,Bear Fish Camp Airport,"Bear Fish Camp, AK",United States
AK5,Qugruc Airport,"Qugruc, AK",United States
AK6,Gold King 2 Airport,"Gold King 2, AK",United States
AK8,Zips Airport,"Zips, AK",United States
AKB,Atka Airport,"Atka, AK",United States
AKC,Akron Fulton International Airport,"Akron, OH",United States
AKI,Akiak Airport,"Akiak, AK",United States
AKK,Akhiok Airport,"Akhiok, AK",United States
AKL,Auckland International Airport,"Auckland, New Zealand",New Zealand
AKN,King Salmon Airport,"King Salmon, AK",United States
AKP,Anaktuvuk Pass Airport,"Anaktuvuk Pass, AK",United States
AL9,Merkel Field Sylacauga Municipal,"Sylacauga, AL",United States
ALB,Albany International Airport,"Albany, NY",United States
ALM,Alamogordo White Sands Regional Airport,"Alamogordo, NM",United States
ALN,St Louis Regional Airport,"Alton, IL",United States
ALO,Waterloo Regional Airport,"Waterloo, IA",United States
ALS,San Luis Valley Regional Airport/Bergman Field,"Alamosa, CO",United States
ALW,Walla Walla Regional Airport,"Walla Walla, WA",United States
ALZ,Alitak Seaplane Base,"Lazy Bay, AK",United States
AMA,Rick Husband Amarillo International Airport,"Amarillo, TX",United States
AMD,Sardar Vallabh Patel International Airport,"Ahmedabad, India",India
AMM,Queen Alia International Airport,"Amman, Jordan",Jordan
AMS,Amsterdam Airport Schiphol,"Amsterdam, Netherlands",Netherlands
ANB,Anniston Regional Airport,"Anniston, AL",United States
ANC,Ted Stevens Anchorage International Airport,"Anchorage, AK",United States
AND,Anderson Regional Airport,"Anderson, SC",United States
ANF,Andrés Sabella Gálvez International Airport,"Antofagasta, Chile",Chile
ANI,Aniak Airport,"Aniak, AK",United States
ANU,V. C. Bird International Airport,"St. Johns, Antigua and Barbuda",Antigua and Barbuda
ANV,Anvik Airport,"Anvik, AK",United States
AOO,Altoona Blair County Airport,"Altoona, PA",United States
AOS,Amook Bay Seaplane Base,"Amook Bay, AK",United States
APA,Centennial Airport,"Denver, CO",United States
APC,Napa County Airport,"Napa, CA",United States
APF,Naples Municipal Airport,"Naples, FL",United States
APN,Alpena County Regional Airport,"Alpena, MI",United States
APW,Faleolo International Airport,"Apia, Samoa",Samoa
AQY,Girdwood-Alyeska Airport,"Girdwood, AK",United States
ARA,Acadiana Regional Airport,"New Iberia, LA",United States
ARC,Arctic Village Airport,"Arctic Village, AK",United States
ARG,Walnut Ridge Regional Airport,"Walnut Ridge, AR",United States
ARI,Chacalluta International Airport,"Arica, Chile",Chile
ARN,Stockholm-Arlanda Airport,"Stockholm, Sweden",Sweden
ART,Watertown International Airport,"Watertown, NY",United States
ASD,Andros Town Airport,"Andros Town, The Bahamas",The Bahamas
ASE,Aspen-Pitkin County Airport (Sardy Field),"Aspen, CO",United States
ASI,RAF Ascension Island,"Ascension Island, Saint Helena, Ascension, and Tristan da Cunha","Saint Helena, Ascension, and Tristan da Cunha"
ASN,Talladega Municipal Airport,"Talladega, AL",United States
AST,Astoria Regional Airport,"Astoria/Seaside, OR",United States
ASU,Silvio Pettirossi International Airport,"Asuncion, Paraguay",Paraguay
ATH,Athens Eleftherios Venizelos International Airport,"Athens, Greece",Greece
ATK,Atqasuk Edward Burnell Sr Memorial Airport,"Atqasuk, AK",United States
ATL,Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",United States
ATQ,Sri Guru Ram Das Ji International Airport,"Amritsar, India",India
ATT,Atmautluak Airport,"Atmautluak, AK",United States
ATW,Appleton International Airport,"Appleton, WI",United States
ATY,Watertown Regional Airport,"Watertown, SD",United States
AUA,Queen Beatrix International Airport,"Aruba, Aruba",Aruba
AUG,Augusta State Airport,"Augusta/Waterville, ME",United States
AUH,Zayed International Airport,"Abu Dhabi, United Arab Emirates",United Arab Emirates
AUK,Alakanuk Airport,"Alakanuk, AK",United States
AUO,Auburn University Regional Airport,"Auburn, AL",United States
AUS,Austin Bergstrom International Airport,"Austin, TX",United States
AVL,Asheville Regional Airport,"Asheville, NC",United States
AVP,Wilkes-Barre/Scranton International Airport,"Scranton/Wilkes-Barre, PA",United States
AWK,Wake Island Airfield,"Wake Island, TT",United States
AWM,West Memphis Municipal Airport,"West Memphis, AR",United States
AXA,Clayton J. Lloyd International Airport,"The Valley, Anguilla",Anguilla
AXM,El Eden Airport,"Armenia, Colombia",Colombia
AXN,Chandler Field,"Alexandria, MN",United States
AXX,Angel Fire Airport,"Eagle Nest, NM",United States
AYT,Antalya International Airport,"Antalya, Turkey",Turkey
AZA,Mesa Gateway Airport,"Phoenix, AZ",United States
AZO,Kalamazoo/Battle Creek International Airport,"Kalamazoo, MI",United States
AZS,Samaná El Catey International Airport,"Samana, Dominican Republic",Dominican Republic
BAD,Barksdale Air Force Base,"Shreveport, LA",United States
BAF,Westfield-Barnes Regional Airport,"Westfield, MA",United States
BAH,Bahrain International Airport,"Manama, Bahrain",Bahrain
BAQ,Ernesto Cortissoz International Airport,"Barranquilla, Colombia",Colombia
BBC,Bay City Regional Airport,"Bay City, TX",United States
BC3,Bliss Landing Water Aerodrome,"Bliss Landing, Canada",Canada
BC5,Dent Island Lodge,"Dent Island, Canada",Canada
BC6,Egmont Water Aerodrome,"Egmont, Canada",Canada
BC7,Sonora Resort,"Sonora Island, Canada",Canada
BC8,Pacific Outback Resort,"Hanson Island, Canada",Canada
BC9,Mink Island Water Aerodrome,"Mink Island, Canada",Canada
BCN,Josep Tarradellas Barcelona-El Prat Airport,"Barcelona, Spain",Spain
BCT,Boca Raton Airport,"Boca Raton, FL",United States
BDA,L.F. Wade International Airport,"Hamilton, Bermuda",Bermuda
BDL,Bradley International Airport,"Hartford, CT",United States
BDR,Igor I Sikorsky Memorial Airport,"Bridgeport, CT",United States
BED,Laurence G Hanscom Field,"Bedford, MA",United States
BEG,Belgrade Nikola Tesla Airport,"Belgrade, Serbia",Serbia
BEL,Val de Cans/Júlio Cezar Ribeiro International Airport,"Belem, Brazil",Brazil
BER,Berlin Brandenburg Airport,"Berlin, Germany",Germany
BES,Brest Bretagne airport,"Brest, France",France
BET,Bethel Airport,"Bethel, AK",United States
BFB,Blue Fox Bay Airport,"Blue Fox Bay, AK",United States
BFD,Bradford Regional Airport,"Bradford, PA",United States
BFF,Western Neb. Rgnl/William B. Heilig Airport,"Scottsbluff, NE",United States
BFI,King County International Airport - Boeing Field,"Seattle, WA",United States
BFL,Meadows Field,"Bakersfield, CA",United States
BFM,Mobile Downtown Airport,"Mobile, AL",United States
BFS,Belfast International Airport,"Belfast, United Kingdom",United Kingdom
BGA,Palonegro Airport,"Bucaramanga, Colombia",Colombia
BGI,Grantley Adams International Airport,"Barbados/Bridgetown, Barbados",Barbados
BGM,Greater Binghamton/Edwin A Link field,"Binghamton, NY",United States
BGO,"Bergen Airport, Flesland","Bergen, Norway",Norway
BGR,Bangor International Airport,"Bangor, ME",United States
BHB,Hancock County-Bar Harbor Airport,"Bar Harbor, ME",United States
BHM,Birmingham-Shuttlesworth International Airport,"Birmingham, AL",United States
BHX,Birmingham Airport,"Birmingham, United Kingdom",United Kingdom
BIC,Aérodrome de Belle Île,"Big Creek, AK",United States
BID,Block Island State Airport,"Block Island, RI",United States
BIF,Biggs Army Air Field (Fort Bliss),"El Paso, TX",United States
BIG,Allen Army Airfield,"Big Delta, AK",United States
BIH,Eastern Sierra Regional Airport,"Bishop, CA",United States
BIL,Billings Logan International Airport,"Billings, MT",United States
BIM,South Bimini Airport,"Bimini, The Bahamas",The Bahamas
BIO,Bilbao Airport,"Bilbao, Spain",Spain
BIS,Bismarck Municipal Airport,"Bismarck/Mandan, ND",United States
